Deductions,,,,,,,,,,,,,
2025,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Canton ID,Canton,Type of tax,Deduction,Amount,Percent,Minimum,Maximum,,,,,,
0,Confederation,Income,Deduction of travel expenses main income,0,0.00,0,3'300,,,,,,
0,Confederation,Income,Deduction for gainful secondary employment,0,20.00,800,2'400,,,,,,
0,Confederation,Income,Flat-rate deduction of other professional expenses,0,3.00,2'000,4'000,,,,,,
0,Confederation,Income,Lump-sum deduction for maintenance costs Real estate up to 10 years old,0,10.00,0,0,,,,,,
0,Confederation,Income,Flat-rate deduction for maintenance costs for properties over 10 years old,0,20.00,0,0,,,,,,
0,Confederation,Income,"Deduction of insurance premiums and savings interest, married persons with contributions pillar 2/3a",0,0.00,0,3'700,,,,,,
0,Confederation,Income,"Deduction of insurance premiums and savings interest, married persons without contributions pillar 2/3a",0,0.00,0,5'550,,,,,,
0,Confederation,Income,"Deduction of insurance premiums and savings interest, single persons with contributions pillar 2/3a",0,0.00,0,1'800,,,,,,
0,Confederation,Income,"Deduction of insurance premiums and savings interest, single persons without contributions pillar 2/3a",0,0.00,0,2'700,,,,,,
0,Confederation,Income,"Deduction of insurance premiums and savings interest, child",0,0.00,0,700,,,,,,
0,Confederation,Income,Deduction for two income couples,0,50.00,8'600,14'100,,,,,,
0,Confederation,Income,Deduction of child care expenses by third parties,0,0.00,0,25'800,,,,,,
0,Confederation,Income,Child deduction,6'800,0.00,0,0,,,,,,
0,Confederation,Income,Deduction for married persons,2'800,0.00,0,0,,,,,,
0,Confederation,Income,Maximum deduction pillar 3a with pension solution,0,0.00,0,7'258,,,,,,
0,Confederation,Income,Maximum deduction pillar 3a without pension solution,0,0.00,0,36'288,,,,,,
0,Confederation,Income,Maximum technical interest rate Single premium in CHF FINMA,0,350.00,0,0,,,,,,
0,Confederation,Income,Deduction for additional meal costs without subsidy,0,0.00,0,3'200,,,,,,
0,Confederation,Income,Deduction for additional meal costs with subsidy,0,0.00,0,1'600,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
