Einkommen,Einfache Steuer Alleinstehende,EAinProzent,Einfache Steuer gemeinsam Steuerpflichtige,EgSinProzent
10’000,0.00,0.0000%,0.00,0.0000%
10’100,0.00,0.0000%,0.00,0.0000%
10’200,0.00,0.0000%,0.00,0.0000%
10’300,0.00,0.0000%,0.00,0.0000%
10’400,0.00,0.0000%,0.00,0.0000%
10’500,0.00,0.0000%,0.00,0.0000%
10’600,0.00,0.0000%,0.00,0.0000%
10’700,0.00,0.0000%,0.00,0.0000%
10’800,0.00,0.0000%,0.00,0.0000%
10’900,0.00,0.0000%,0.00,0.0000%
11’000,0.00,0.0000%,0.00,0.0000%
11’100,0.00,0.0000%,0.00,0.0000%
11’200,0.00,0.0000%,0.00,0.0000%
11’300,0.00,0.0000%,0.00,0.0000%
11’400,0.00,0.0000%,0.00,0.0000%
11’500,0.00,0.0000%,0.00,0.0000%
11’600,0.00,0.0000%,0.00,0.0000%
11’700,4.00,0.0342%,0.00,0.0000%
11’800,8.00,0.0678%,0.00,0.0000%
11’900,12.00,0.1008%,0.00,0.0000%
12’000,16.00,0.1333%,0.00,0.0000%
12’100,20.00,0.1653%,0.00,0.0000%
12’200,24.00,0.1967%,0.00,0.0000%
12’300,28.00,0.2276%,0.00,0.0000%
12’400,32.00,0.2581%,0.00,0.0000%
12’500,36.00,0.2880%,0.00,0.0000%
12’600,40.00,0.3175%,0.00,0.0000%
12’700,44.00,0.3465%,0.00,0.0000%
12’800,48.00,0.3750%,0.00,0.0000%
12’900,52.00,0.4031%,0.00,0.0000%
13’000,56.00,0.4308%,0.00,0.0000%
13’100,60.00,0.4580%,0.00,0.0000%
13’200,64.00,0.4848%,0.00,0.0000%
13’300,68.00,0.5113%,0.00,0.0000%
13’400,72.00,0.5373%,0.00,0.0000%
13’500,76.00,0.5630%,0.00,0.0000%
13’600,80.00,0.5882%,0.00,0.0000%
13’700,84.00,0.6131%,0.00,0.0000%
13’800,88.00,0.6377%,0.00,0.0000%
13’900,92.00,0.6619%,0.00,0.0000%
14’000,96.00,0.6857%,0.00,0.0000%
14’100,100.00,0.7092%,0.00,0.0000%
14’200,104.00,0.7324%,0.00,0.0000%
14’300,108.00,0.7552%,0.00,0.0000%
14’400,112.00,0.7778%,0.00,0.0000%
14’500,116.00,0.8000%,0.00,0.0000%
14’600,120.00,0.8219%,0.00,0.0000%
14’700,124.00,0.8435%,0.00,0.0000%
14’800,128.00,0.8649%,0.00,0.0000%
14’900,132.00,0.8859%,0.00,0.0000%
15’000,136.00,0.9067%,0.00,0.0000%
15’100,140.00,0.9272%,0.00,0.0000%
15’200,144.00,0.9474%,0.00,0.0000%
15’300,148.00,0.9673%,0.00,0.0000%
15’400,152.00,0.9870%,0.00,0.0000%
15’500,156.00,1.0065%,0.00,0.0000%
15’600,160.00,1.0256%,0.00,0.0000%
15’700,164.00,1.0446%,0.00,0.0000%
15’800,168.00,1.0633%,0.00,0.0000%
15’900,174.00,1.0943%,0.00,0.0000%
16’000,180.00,1.1250%,0.00,0.0000%
16’100,186.00,1.1553%,0.00,0.0000%
16’200,192.00,1.1852%,0.00,0.0000%
16’300,198.00,1.2147%,0.00,0.0000%
16’400,204.00,1.2439%,0.00,0.0000%
16’500,210.00,1.2727%,0.00,0.0000%
16’600,216.00,1.3012%,0.00,0.0000%
16’700,222.00,1.3293%,0.00,0.0000%
16’800,228.00,1.3571%,0.00,0.0000%
16’900,234.00,1.3846%,0.00,0.0000%
17’000,240.00,1.4118%,0.00,0.0000%
17’100,246.00,1.4386%,0.00,0.0000%
17’200,252.00,1.4651%,0.00,0.0000%
17’300,258.00,1.4913%,0.00,0.0000%
17’400,264.00,1.5172%,0.00,0.0000%
17’500,270.00,1.5429%,0.00,0.0000%
17’600,276.00,1.5682%,0.00,0.0000%
17’700,282.00,1.5932%,0.00,0.0000%
17’800,288.00,1.6180%,0.00,0.0000%
17’900,294.00,1.6425%,0.00,0.0000%
18’000,300.00,1.6667%,0.00,0.0000%
18’100,306.00,1.6906%,0.00,0.0000%
18’200,312.00,1.7143%,0.00,0.0000%
18’300,318.00,1.7377%,0.00,0.0000%
18’400,324.00,1.7609%,0.00,0.0000%
18’500,330.00,1.7838%,0.00,0.0000%
18’600,336.00,1.8065%,0.00,0.0000%
18’700,342.00,1.8289%,0.00,0.0000%
18’800,348.00,1.8511%,0.00,0.0000%
18’900,354.00,1.8730%,0.00,0.0000%
19’000,360.00,1.8947%,0.00,0.0000%
19’100,366.00,1.9162%,0.00,0.0000%
19’200,372.00,1.9375%,0.00,0.0000%
19’300,378.00,1.9585%,0.00,0.0000%
19’400,384.00,1.9794%,0.00,0.0000%
19’500,390.00,2.0000%,0.00,0.0000%
19’600,396.00,2.0204%,0.00,0.0000%
19’700,402.00,2.0406%,0.00,0.0000%
19’800,408.00,2.0606%,0.00,0.0000%
19’900,414.00,2.0804%,0.00,0.0000%
20’000,420.00,2.1000%,0.00,0.0000%
20’100,426.00,2.1194%,0.00,0.0000%
20’200,432.00,2.1386%,0.00,0.0000%
20’300,438.00,2.1576%,0.00,0.0000%
20’400,444.00,2.1765%,0.00,0.0000%
20’500,450.00,2.1951%,0.00,0.0000%
20’600,456.00,2.2136%,0.00,0.0000%
20’700,462.00,2.2319%,0.00,0.0000%
20’800,468.00,2.2500%,0.00,0.0000%
20’900,474.00,2.2679%,0.00,0.0000%
21’000,480.00,2.2857%,0.00,0.0000%
