income_gross,age,employed,marital_status,is_two_income_couple,number_of_children_under_7,number_of_children_7_and_over,number_of_children,commune,church_affiliation,contribution_pillar_3a,total_insurance_expenses,travel_expenses_main_income,child_care_expenses_third_party,taxable_assets,child_education_expenses,total_tax,delta_3a,delta_childcare,delta_insurance
49635.0,55,True,single,False,1,2,3,Benken (SG),roman_catholic,5578.0,3158.0,9756.0,22072.0,380569.0,14349.0,0.0,0.0,0.0,0.0
202934.0,44,False,married,False,1,1,2,Ebnat-Kappel,christian_catholic,37070.0,2414.0,8227.0,16362.0,221707.0,9009.0,17818.6,0.0,2996.869999999999,1145.7199999999975
79992.0,25,True,married,False,2,2,4,Gams,none,5053.0,4203.0,3545.0,2037.0,485349.0,8913.0,0.0,0.0,0.0,0.0
226486.0,51,True,married,False,1,1,2,Nesslau,roman_catholic,350.0,4460.0,6830.0,27675.0,372381.0,7332.0,32327.17,2387.6899999999987,0.0,525.6999999999971
242852.0,39,False,married,False,0,1,1,Thal,roman_catholic,7578.0,4118.0,4757.0,9905.0,113454.0,11289.0,38326.98,9597.930000000004,5507.980000000003,549.6000000000058
177359.0,62,False,single,False,2,1,3,Schmerikon,roman_catholic,30713.0,4993.0,4352.0,24142.0,420845.0,7749.0,7588.07,1246.5699999999997,544.9699999999993,0.0
227579.0,34,False,married,True,0,2,2,Eggersriet,roman_catholic,31873.0,4721.0,7803.0,19945.0,235783.0,14103.0,21150.56,1337.010000000002,1960.5900000000001,486.6100000000006
90966.0,55,True,single,False,1,1,2,Andwil (SG),roman_catholic,1118.0,2637.0,6684.0,19632.0,235548.0,17101.0,362.48,335.99,336.27000000000004,72.33000000000004
154351.0,25,True,married,True,1,1,2,Benken (SG),roman_catholic,4473.0,3617.0,308.0,10424.0,218358.0,19654.0,16453.44,769.5499999999993,4397.049999999999,724.5199999999986
77208.0,33,False,married,True,0,0,0,Untereggen,roman_catholic,2332.0,5505.0,2935.0,0.0,217158.0,0.0,7727.85,6392.26,5316.84,254.86000000000058
175621.0,27,True,married,True,2,1,3,Lütisburg,none,3251.0,1927.0,1669.0,10028.0,11356.0,2122.0,23932.81,1182.0699999999997,4813.040000000001,1251.5400000000009
49810.0,55,True,married,False,2,0,2,Wartau,roman_catholic,4008.0,2983.0,6963.0,14868.0,223078.0,0.0,0.0,0.0,0.0,0.0
66567.0,38,False,single,False,2,1,3,Rapperswil-Jona,roman_catholic,14472.0,2055.0,1180.0,10168.0,480948.0,7325.0,0.0,0.0,0.0,0.0
229887.0,43,True,single,False,0,2,2,Wildhaus-Alt St. Johann,none,2089.0,4301.0,7890.0,13480.0,368459.0,5444.0,36551.9,1755.489999999998,4372.77,0.0
47435.0,26,False,married,False,1,2,3,Eichberg,roman_catholic,32346.0,3475.0,5469.0,5303.0,231602.0,17132.0,0.0,0.0,0.0,0.0
34295.0,54,False,married,True,1,0,1,Rheineck,protestant,3787.0,3899.0,6287.0,2533.0,378743.0,0.0,0.0,0.0,0.0,0.0
121477.0,55,False,single,False,1,0,1,Grabs,roman_catholic,27108.0,620.0,1751.0,17629.0,396741.0,0.0,4871.73,1729.5099999999998,1699.9799999999996,507.75
67530.0,34,True,married,True,1,1,2,Rapperswil-Jona,roman_catholic,4727.0,908.0,9585.0,12544.0,241151.0,9342.0,0.0,0.0,0.0,0.0
202201.0,24,False,single,False,1,2,3,Neckertal,none,6440.0,3430.0,5422.0,14204.0,403798.0,5339.0,23335.15,8171.500000000002,3486.9900000000016,0.0
239830.0,36,True,married,True,1,0,1,Amden,none,79.0,5376.0,5428.0,4207.0,151089.0,0.0,45257.12,2336.9100000000035,7204.93,278.42000000000553
151887.0,35,False,married,True,0,0,0,Flums,none,26376.0,5632.0,7686.0,0.0,160339.0,0.0,15997.63,2504.7199999999993,6603.439999999999,247.14999999999964
53703.0,48,True,married,False,0,0,0,Bütschwil-Ganterschwil,protestant,4438.0,1859.0,8297.0,0.0,230016.0,0.0,3155.68,454.5799999999999,3155.68,765.4899999999998
207815.0,63,False,single,False,2,1,3,Goldach,protestant,36221.0,1535.0,9913.0,28081.0,90350.0,3292.0,12447.81,16.68000000000029,0.0,400.09000000000015
147294.0,23,False,single,False,2,2,4,Degersheim,none,35667.0,5073.0,8907.0,6702.0,446723.0,2319.0,3912.14,134.63999999999987,3302.43,0.0
144148.0,42,False,single,False,2,1,3,Rorschacherberg,protestant,35451.0,566.0,7366.0,22403.0,189995.0,5249.0,2147.73,124.38000000000011,629.54,405.1400000000001
31167.0,62,True,single,False,0,0,0,Balgach,roman_catholic,6648.0,4480.0,1792.0,0.0,183604.0,0.0,414.33,71.66999999999996,414.33,0.0
161864.0,52,True,single,False,0,0,0,Gossau (SG),none,2563.0,5830.0,4993.0,0.0,250370.0,0.0,28229.72,1388.5,7817.060000000001,0.0
125413.0,28,True,single,False,0,0,0,Gams,none,1054.0,5815.0,1218.0,0.0,148267.0,0.0,20546.48,1722.1100000000006,7180.289999999999,0.0
141392.0,61,True,married,True,1,0,1,Vilters-Wangs,none,6432.0,506.0,7389.0,24778.0,65528.0,0.0,11699.07,195.76000000000022,428.52000000000044,1398.6800000000003
125443.0,27,True,married,False,1,2,3,Gommiswald,protestant,4066.0,3977.0,3137.0,28668.0,260511.0,5728.0,4421.86,624.3599999999997,0.0,523.9499999999998
241262.0,61,False,single,False,1,1,2,Degersheim,roman_catholic,25359.0,4339.0,1403.0,22464.0,209557.0,130.0,32738.72,3704.8300000000017,1379.3199999999997,0.0
242571.0,29,True,single,False,2,2,4,Tübach,protestant,5074.0,4708.0,8469.0,535.0,331780.0,2182.0,37753.53,717.0999999999985,8474.02,0.0
93344.0,57,False,married,False,0,1,1,Niederhelfenschwil,christian_catholic,37328.0,5206.0,7533.0,18093.0,144927.0,8251.0,0.0,0.0,0.0,0.0
56156.0,38,True,single,False,0,1,1,Wildhaus-Alt St. Johann,protestant,6939.0,3186.0,2478.0,8060.0,118331.0,19891.0,0.0,0.0,0.0,0.0
194123.0,58,True,married,False,2,0,2,Mörschwil,roman_catholic,4755.0,1153.0,8246.0,9561.0,155167.0,0.0,23535.1,649.6299999999974,4283.57,1217.619999999999
233139.0,28,True,married,True,0,0,0,Goldach,roman_catholic,3645.0,692.0,5402.0,0.0,10574.0,0.0,50263.77,1223.6499999999942,8925.75,1665.6599999999962
185987.0,24,False,single,False,2,0,2,Mels,none,23645.0,4818.0,3936.0,24846.0,158995.0,0.0,16602.79,3219.9500000000007,440.0100000000002,0.0
246572.0,43,True,married,True,2,1,3,Au (SG),roman_catholic,7112.0,1420.0,2280.0,7481.0,321283.0,11424.0,39646.53,49.029999999998836,6337.889999999999,1403.9300000000003
238744.0,39,False,single,False,0,1,1,Weesen,roman_catholic,20950.0,559.0,8334.0,3202.0,25980.0,8081.0,39952.43,5540.690000000002,8370.66,818.2799999999988
233465.0,51,False,married,True,2,2,4,Flawil,none,39182.0,3476.0,7794.0,18834.0,321241.0,12325.0,15262.12,0.0,2005.6800000000003,711.6700000000001
201379.0,53,False,married,True,0,1,1,Wildhaus-Alt St. Johann,protestant,34302.0,4704.0,3850.0,20584.0,319781.0,4995.0,18666.62,557.8999999999978,1673.0999999999985,484.0
88621.0,24,False,single,False,1,0,1,Marbach (SG),roman_catholic,13529.0,2205.0,5050.0,10991.0,368472.0,0.0,3889.51,3502.54,2525.9700000000003,220.84000000000015
102049.0,40,False,single,False,2,0,2,Gommiswald,none,26833.0,5498.0,8541.0,14427.0,385145.0,0.0,528.45,528.45,528.45,0.0
102239.0,41,True,married,True,1,1,2,Eichberg,protestant,6435.0,4597.0,6329.0,2174.0,144077.0,3534.0,6491.4,172.5,4573.509999999999,417.6899999999996
191676.0,23,False,married,True,1,2,3,Wattwil,christian_catholic,5284.0,3817.0,950.0,18656.0,362857.0,11615.0,21374.35,8953.979999999998,2355.2999999999993,723.4300000000003
48588.0,44,True,married,False,2,2,4,Diepoldsau,protestant,6407.0,2671.0,7826.0,29899.0,397557.0,18627.0,0.0,0.0,0.0,0.0
